Alterno;Nombre;Ventas;Marca;Talla;Genero;Categoria;Venta;Tienda;Fecha de Venta;Nombre Comercial
5423A;T.EKBRADST PTO DARK BROW 5423A # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,286.50;Shoes Cascadas;8/7/2019;BRADSTREET
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,390.00;Shoes Cascadas;8/7/2019;MADDSEN
6905B;T. TRAIL WIND BROW 6905B # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,815.00;TimeOut Choluteca;8/7/2019;TRAIL WIND
A1PDS;T.BRACDSTREET BROW A1PDS  # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,714.00;TimeOut La Ceiba;8/7/2019;BRADSTREET
A1IQH;T.STORMBUCK LITE PLAIN WOOD THRU BROW A1IQH # 11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,915.00;TimeOut La Ceiba;8/7/2019;STORMBUCK
5422A;T. EKBRADST PTC DARK BROWN OILED 5422A #11;1;TIMBERLAND;11;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;8/7/2019;BRADSTREET
6905B;T. TRAIL WIND BROW 6905B # 10;1;TIMBERLAND;10;HOMBRE;ZAPATO;3,015.00;TimeOut Choluteca;9/7/2019;TRAIL WIND
18128;T. FLUME MID DK BROMW 18128 #8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;2,875.00;TimeOut La Ceiba;9/7/2019;CHOCORUA
6905B;T. TRAIL WIND BROW 6905B # 9;1;TIMBERLAND;9;HOMBRE;ZAPATO;2,790.00;Timberland CITY MALL;9/7/2019;TRAIL WIND
TB010001;T.MENS 6IN PREM  DK BRW TB010001 # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;4,350.00;Time Out Multiplaza;9/7/2019;CLASICOS
9540A;T. MT MADDEN LOW BROW 9540A # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,390.00;Time Out Multiplaza;9/7/2019;MADDSEN
A1N2T;T. KENDRICK CHUKKA TAN BROW A1N2T # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;3,051.50;Time Out Citymall SPS;10/7/2019;KENDRICK
A1R1P;Z.T GRAYDON LEATHER BRW A1R1P # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,290.00;Time Out Citymall SPS;10/7/2019;GRAYDON
6815A;Z.T EK FULK OX BROWN OIL BROWN 6815A  # 8.5;1;TIMBERLAND;8.5;HOMBRE;ZAPATO;1,835.00;El Dorado;10/7/2019;FULK
9540A;T. MT MADDEN LOW BROW 9540A # 8;1;TIMBERLAND;8;HOMBRE;ZAPATO;2,201.50;Time Out Multiplaza;10/7/2019;MADDSEN
A11MO;T. KEELE RIDGE BROW A11MO # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,590.00;Timberland Multiplaza;10/7/2019;KEELE RIDGE
5422A;T. EKBRADST PTC DARK BROWN OILED 5422A #9.5;1;TIMBERLAND;9.5;HOMBRE;ZAPATO;2,990.00;Timberland Multiplaza;10/7/2019;BRADSTREET
A1TW9;T. BRADSTREET PT CHUKKA POTTING BRW A1TW9 # 7.5;1;TIMBERLAND;7.5;HOMBRE;ZAPATO;2,790.00;Timberland CITY MALL;10/7/2019;BRADSTREET
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 7;1;TIMBERLAND;7;HOMBRE;ZAPATO;2,881.50;Timberland CITY MALL;10/7/2019;MADDSEN
15550;T.EARTHKEEPER DK BROWN 15550#10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,145.00;Time out mall premier;10/7/2019;EARTHKEEPERS
5552R;T. EK STORMBUCK DK OLIVE 5552R #11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,995.00;Time out mall premier;10/7/2019;STORMBUCK
15550;T.EARTHKEEPER DK BROWN 15550#10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;3,517.80;Shoes Cascadas;10/7/2019;EARTHKEEPERS
15130;T. CHOCORUA TRAIL BROW 15130 # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;3,410.00;TimeOut La Ceiba;11/7/2019;CHOCORUA
5552R;T. EK STORMBUCK DK OLIVE 5552R #11;1;TIMBERLAND;11;HOMBRE;ZAPATO;1,995.00;Timberland Multiplaza;11/7/2019;STORMBUCK
A1QDX;Z.T LAFAYETTE PARK BRW A1QDX # 10.5;1;TIMBERLAND;10.5;HOMBRE;ZAPATO;2,190.00;Timberland Multiplaza;11/7/2019;LAFAYETTE
